Label,Cell_type,seurat_cluster,LRP_stage,earlymappingbycelltype,earlymappingbycelltype2,adjustedmapping
11,Protoxylem,,Prebranch_stage,earlystage_primordia,,
2,Pericycle,,Prebranch_stage,Pericycle,,
37,Stele,,Prebranch_stage,Pericycle,,
23,Protoxylem,,Prebranch_stage,earlystage_primordia,,earlystage_primordia
171,Stele,,Prebranch_stage,Pericycle,,
310,Protoxylem,,Prebranch_stage,earlystage_primordia,,earlystage_primordia
302,Pericycle,,Prebranch_stage,Pericycle,,
3,Pericycle,,0,Pericycle,,
33,Stele,,0,earlystage_primordia,,earlystage_primordia
165,Stele,,0,earlystage_primordia,,earlystage_primordia
297,Pericycle,,0,Pericycle,,
4,Pericycle,,1,Pericycle,,
29,Stele,,1,earlystage_primordia,,earlystage_primordia
105,Stele,,1,earlystage_primordia,,earlystage_primordia
163,Stele,,1,earlystage_primordia,,earlystage_primordia
220,Stele,,1,earlystage_primordia,,earlystage_primordia
293,Pericycle,,1,Pericycle,,
5,Pericycle,,2,Pericycle,,
12,Pericycle,,2,Pericycle,,
25,Stele,,2,earlystage_primordia,,earlystage_primordia
61,Stele,,2,earlystage_primordia,,earlystage_primordia
91,Stele,,2,earlystage_primordia,,earlystage_primordia
121,Stele,,2,earlystage_primordia,,earlystage_primordia
151,Stele,,2,earlystage_primordia,,earlystage_primordia
192,Stele,,2,earlystage_primordia,,earlystage_primordia
252,Stele,,2,earlystage_primordia,,earlystage_primordia
26,Endodermis,,2,Endodermis,,
55,Endodermis,,2,Endodermis,,
90,Endodermis,,2,Endodermis,,
114,Endodermis,,2,Endodermis,,
148,Endodermis,,2,Endodermis,,
193,Endodermis,,2,Endodermis,,
253,Endodermis,,2,Endodermis,,
289,Endodermis,,2,Endodermis,,
319,Pericycle,,2,Pericycle,,
322,Pericycle,,2,Pericycle,,
6,Pericycle,,3,Pericycle,,
17,Pericycle,,3,Pericycle,,
13,Pericycle,,3,Pericycle,,
30,Stele,,3,earlystage_primordia,,earlystage_primordia
56,Stele,,3,earlystage_primordia,,earlystage_primordia
86,Stele,,3,earlystage_primordia,,earlystage_primordia
137,Stele,,3,earlystage_primordia,,earlystage_primordia
188,Stele,,3,earlystage_primordia,,earlystage_primordia
251,Stele,,3,earlystage_primordia,,earlystage_primordia
295,Stele,,3,earlystage_primordia,,earlystage_primordia
31,Endodermis,,3,Endodermis,,
57,Endodermis,,3,Endodermis,,
87,Endodermis,,3,Endodermis,,
138,Endodermis,,3,Endodermis,,
189,Endodermis,,3,Endodermis,,
222,Endodermis,,3,Endodermis,,
